"EC Reference Number","Entity name","Entity type","Registration status","Register","Entity status","Referendum","Designation status","Company reg no","Date of registration / notification","Fielding candidates in england","Fielding candidates in scotland","Fielding candidates in wales","Fielding candidates in combined region","Minor party fielding candidates","Referendum outcome"
"PP 760","Wigan Independents","Political Party","Registered","Great Britain","","","","","22/04/2009 00:00:00","Y","N","N","N","N",""
"PP 2335","Wigan Real Labour","Political Party","Registered","Great Britain","","","","","10/04/2014 00:00:00","Y","N","N","N","N",""
"PPm 303","Willingdon Residents' Association","Minor Party","Registered","","","","","","14/03/2003 00:00:00","Y","N","N","N","Y",""
"PP 184","Workers Revolutionary Party","Political Party","Registered","Great Britain","","","","","15/05/2001 00:00:00","Y","N","N","N","N",""
"PP 279","Wythall Residents' Association","Political Party","Registered","Great Britain","","","","","19/02/2003 00:00:00","Y","N","N","N","N",""
"PP 440","Yarm Independent Association","Political Party","Registered","Great Britain","","","","","05/03/2005 00:00:00","Y","N","N","N","N",""
"PPm 2101","Yarm Residents Association","Minor Party","Registered","","","","","","03/07/2013 00:00:00","Y","N","N","N","Y",""
"PP 730","Yes 2 Europe","Political Party","Registered","Great Britain","","","","","19/09/2008 00:00:00","Y","Y","Y","N","N",""
"PP 2120","Yorkshire First","Political Party","Registered","Great Britain","","","","","03/04/2014 00:00:00","Y","N","N","N","N",""
"PP 1912","Young People's Party YPP","Political Party","Registered","Great Britain","","","","","06/06/2012 00:00:00","Y","Y","Y","Y","N",""
"PP 734","Your Decision","Political Party","Registered","Great Britain","","","","","19/12/2008 00:00:00","Y","Y","Y","N","N",""
"PP 2300","YOURvoice","Political Party","Registered","Great Britain","","","","","17/03/2014 00:00:00","Y","Y","Y","N","N",""
"PP 1949","Zero Tolerance Policing ex  Chief","Political Party","Registered","Great Britain","","","","","10/10/2012 00:00:00","Y","N","N","N","N",""
